Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED4_Col3  0805_A                2260mil       2200mil       2260mil       2200mil       2260mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col4  0805_A                2460mil       2200mil       2460mil       2200mil       2460mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col5  0805_A                2660mil       2200mil       2660mil       2200mil       2660mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col6  0805_A                2860mil       2200mil       2860mil       2200mil       2860mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col7  0805_A                3060mil       2200mil       3060mil       2200mil       3060mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col8  0805_A                3260mil       2200mil       3260mil       2200mil       3260mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col9  0805_A                4740mil       2200mil       4740mil       2200mil       4740mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col10 0805_A                4940mil       2200mil       4940mil       2200mil       4940mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col11 0805_A                5140mil       2200mil       5140mil       2200mil       5140mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col12 0805_A                5340mil       2200mil       5340mil       2200mil       5340mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col13 0805_A                5540mil       2200mil       5540mil       2200mil       5540mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col14 0805_A                5740mil       2200mil       5740mil       2200mil       5740mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col15 0805_A                5940mil       2200mil       5940mil       2200mil       5940mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col16 0805_A                6140mil       2200mil       6140mil       2200mil       6140mil   2241.339mil  T        270.00 150080GS75000  
LED5_Col1  0805_A                1860mil       2000mil       1860mil       2000mil       1860mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col2  0805_A                2060mil       2000mil       2060mil       2000mil       2060mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col3  0805_A                2260mil       2000mil       2260mil       2000mil       2260mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col4  0805_A                2460mil       2000mil       2460mil       2000mil       2460mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col5  0805_A                2660mil       2000mil       2660mil       2000mil       2660mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col6  0805_A                2860mil       2000mil       2860mil       2000mil       2860mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col7  0805_A                3060mil       2000mil       3060mil       2000mil       3060mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col8  0805_A                3260mil       2000mil       3260mil       2000mil       3260mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col9  0805_A                4740mil       2000mil       4740mil       2000mil       4740mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col10 0805_A                4940mil       2000mil       4940mil       2000mil       4940mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col11 0805_A                5140mil       2000mil       5140mil       2000mil       5140mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col12 0805_A                5340mil       2000mil       5340mil       2000mil       5340mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col13 0805_A                5540mil       2000mil       5540mil       2000mil       5540mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col14 0805_A                5740mil       2000mil       5740mil       2000mil       5740mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col15 0805_A                5940mil       2000mil       5940mil       2000mil       5940mil   2041.339mil  T        270.00 150080GS75000  
LED5_Col16 0805_A                6140mil       2000mil       6140mil       2000mil       6140mil   2041.339mil  T        270.00 150080GS75000  
LED6_Col1  0805_A                1860mil       1800mil       1860mil       1800mil       1860mil   1841.339mil  T        270.00 150080GS75000  
LED6_Col2  0805_A                2060mil       1800mil       2060mil       1800mil       2060mil   1841.339mil  T        270.00 150080GS75000  
LED6_Col3  0805_A                2260mil       1800mil       2260mil       1800mil       2260mil   1841.339mil  T        270.00 150080GS75000  
LED6_Col4  0805_A                2460mil       1800mil       2460mil       1800mil       2460mil   1841.339mil  T        270.00 150080GS75000  
LED6_Col5  0805_A                2660mil       1800mil       2660mil       1800mil       2660mil   1841.339mil  T        270.00 150080GS75000  
LED6_Col6  0805_A                2860mil       1800mil       2860mil       1800mil       2860mil   1841.339mil  T        270.00 150080GS75000  
